"year","team","conf","seed","postseason","barthag","barthag_perform","wab","wab_perform","w","adjoe","adjoe_perform","adjde","adjde_perform","tor","tord","orb","drb","ftr","ftrd","2p_o","2p_d","3p_o","3p_d","adj_t","actual_rounds","expected_rounds","round_perform","cinderella_matrix","cm_year_rank","avg_seed_cm","cm_perform","avg_round_cm","cm_round_perform"
2021,"Gonzaga","WCC",1,"2ND","0.9791","0.184","8.5","7.106",26,"125.4","14.176","89.8","6.755","16.1","20.3","30.4","23.4","36.7","25.9","64.0","46.8","36.5","32.5","74.6",5,"2.88","2.120","23.235","1","14.255","8.980","9.072","14.163"
2015,"Wisconsin","B10",1,"2ND","0.9758","0.181","11.3","9.906",36,"129.1","17.876","93.6","2.955","12.4","15.8","32.1","23.7","36.2","22.4","54.8","44.7","36.5","37.5","59.3",5,"2.88","2.120","23.132","1","14.255","8.877","9.072","14.060"
2015,"Kentucky","SEC",1,"F4","0.9842","0.189","13.1","11.706",38,"120.3","9.076","84.0","12.555","16.3","21.3","39.5","31.8","43.9","31.7","51.2","39.1","34.9","27.1","63.5",4,"2.88","1.120","22.940","2","14.255","8.685","7.121","15.819"
2015,"Duke","ACC",1,"Champions","0.9764","0.181","10.7","9.306",35,"125.2","13.976","90.6","5.955","16.3","18.6","35.8","30.2","39.8","23.9","55.9","46.3","38.7","31.4","66.4",5,"2.88","2.120","22.232","3","14.255","7.977","12.102","10.130"
2018,"Villanova","BE",1,"Champions","0.9725","0.177","10.6","9.206",36,"128.4","17.176","94.1","2.455","15.0","18.2","29.6","27.1","29.4","26.7","59.0","49.0","40.1","31.7","69.6",5,"2.88","2.120","21.928","1","14.255","7.673","12.102","9.826"
2019,"Virginia","ACC",1,"Champions","0.9736","0.179","11.1","9.706",35,"123.0","11.776","89.9","6.655","14.7","17.5","30.4","25.4","29.1","26.3","52.5","45.7","39.5","28.9","60.7",5,"2.88","2.120","20.730","1","14.255","6.475","12.102","8.628"
2016,"Villanova","BE",2,"Champions","0.9703","0.175","8.9","7.506",35,"123.1","11.876","90.9","5.655","16.3","20.6","28.2","29.4","34.1","30.0","57.4","44.1","36.2","33.9","66.7",5,"2.05","2.950","20.656","1","11.138","9.518","12.102","8.554"
2019,"Gonzaga","WCC",1,"E8","0.9744","0.179","7.0","5.606",33,"123.4","12.176","89.9","6.655","14.9","19.0","31.5","26.8","35.3","25.9","61.4","43.4","36.3","30.4","72.0",3,"2.88","0.120","19.130","2","14.255","4.875","7.704","11.426"
2023,"Connecticut","BE",4,"Champions","0.9643","0.169","5.0","3.606",31,"121.5","10.276","91.2","5.355","18.9","18.5","38.5","26.1","30.8","37.8","53.6","44.4","36.3","29.7","66.7",5,"1.67","3.330","19.130","1","7.137","11.993","12.102","7.028"
2017,"Gonzaga","WCC",1,"2ND","0.9728","0.178","7.7","6.306",37,"117.8","6.576","86.3","10.255","16.2","17.1","30.0","26.2","39.0","26.9","56.3","40.0","38.2","29.0","71.5",5,"2.88","2.120","19.129","1","14.255","4.874","9.072","10.057"
2013,"Louisville","BE",1,"Champions","0.9743","0.179","9.0","7.606",35,"115.9","4.676","84.5","12.055","18.3","27.0","38.2","33.3","40.0","34.9","50.8","43.4","33.3","31.8","67.1",5,"2.88","2.120","19.030","1","14.255","4.775","12.102","6.928"
2019,"Texas Tech","B12",3,"2ND","0.9696","0.175","7.0","5.606",31,"115.2","3.976","85.2","11.355","17.7","22.8","27.4","28.7","32.9","36.6","52.8","41.9","36.5","29.7","67.5",5,"1.83","3.170","18.676","3","7.944","10.732","9.072","9.604"
2021,"Houston","Amer",2,"F4","0.9626","0.168","4.0","2.606",24,"120.6","9.376","90.9","5.655","16.3","21.6","39.4","28.0","30.7","42.4","49.9","43.0","35.5","28.5","65.0",4,"2.05","1.950","17.149","2","11.138","6.011","7.121","10.028"
2017,"North Carolina","ACC",1,"Champions","0.9615","0.166","8.4","7.006",33,"121.0","9.776","91.5","5.055","16.2","18.6","41.3","25.0","34.3","31.6","51.0","46.3","35.5","33.9","72.8",5,"2.88","2.120","17.117","2","14.255","2.862","12.102","5.015"
2015,"Arizona","P12",2,"E8","0.9700","0.175","9.0","7.606",34,"117.5","6.276","86.9","9.655","16.5","20.6","34.5","22.4","47.1","37.3","53.3","42.7","36.0","33.5","66.7",3,"2.05","0.950","17.056","4","11.138","5.918","7.704","9.352"
2014,"Louisville","Amer",4,"S16","0.9710","0.176","5.3","3.906",31,"118.8","7.576","87.6","8.955","15.3","25.0","37.1","32.7","41.2","38.4","52.7","44.3","36.8","28.6","68.8",2,"1.67","0.330","17.037","1","7.137","9.900","5.427","11.610"
2013,"Florida","SEC",3,"E8","0.9694","0.174","4.1","2.706",29,"115.7","4.476","85.7","10.855","17.8","22.5","34.2","28.4","31.0","29.9","54.3","41.8","37.8","31.0","62.8",3,"1.83","1.170","16.675","2","7.944","8.731","7.704","8.971"
