"product_id","product_name","order_id","quantity","list_price","discount","product_revenue","order_date","season","state","city"
3,"Surly Wednesday Frameset - 2016",1324,1,"999.99","0.20","799.99","2018-01-01","Winter","NY","Fresh Meadows"
269,"Trek Precaliber 12 Boy's - 2018",1326,2,"199.99","0.07","371.98","2018-01-01","Winter","TX","Longview"
190,"Trek Dual Sport+ - 2018",1326,2,"2799.99","0.07","5207.98","2018-01-01","Winter","TX","Longview"
28,"Surly Karate Monkey 27.5+ Frameset - 2017",1325,1,"2499.99","0.07","2324.99","2018-01-01","Winter","TX","Rowlett"
209,"Trek Crockett 7 Disc - 2018",1325,1,"2999.99","0.10","2699.99","2018-01-01","Winter","TX","Rowlett"
139,"Trek Remedy 7 27.5 - 2018",1325,1,"2999.99","0.05","2849.99","2018-01-01","Winter","TX","Rowlett"
257,"Electra Amsterdam Fashion 3i Ladies' - 2017/2018",1325,1,"899.99","0.05","854.99","2018-01-01","Winter","TX","Rowlett"
66,"Sun Bicycles Revolutions 24 - 2017",1324,1,"250.99","0.10","225.89","2018-01-01","Winter","NY","Fresh Meadows"
120,"Trek Fuel EX 7 29 - 2018",1324,2,"2499.99","0.20","3999.98","2018-01-01","Winter","NY","Fresh Meadows"
235,"Electra Koa 3i Ladies' - 2018",1324,1,"899.99","0.10","809.99","2018-01-01","Winter","NY","Fresh Meadows"
129,"Trek X-Caliber 7 - 2018",1328,2,"919.99","0.10","1655.98","2018-01-02","Winter","NY","Wantagh"
228,"Electra Cruiser 7D Tall - 2016/2018",1328,1,"319.99","0.07","297.59","2018-01-02","Winter","NY","Wantagh"
247,"Electra Townie Original 7D EQ - 2018",1328,1,"599.99","0.10","539.99","2018-01-02","Winter","NY","Wantagh"
151,"Trek Domane ALR 4 Disc Women's - 2018",1327,2,"1549.99","0.07","2882.98","2018-01-02","Winter","NY","Endicott"
235,"Electra Koa 3i Ladies' - 2018",1327,2,"899.99","0.10","1619.98","2018-01-02","Winter","NY","Endicott"
48,"Trek Emonda S 4 - 2017",1327,2,"1499.99","0.10","2699.98","2018-01-02","Winter","NY","Endicott"
