"year","postseason","team","conf","seed","wab","barthag","adjoe","adjde","efg_o","3p_o","tor","orb","drb"
2013,"S16","Indiana","B10",1,"7.8","0.9692","121.0","89.7","54.7","40.3","19.3","39.0","31.4"
2013,"S16","Kansas","B12",1,"7.5","0.9514","111.6","86.2","53.3","36.4","20.3","33.8","29.3"
2013,"R32","Gonzaga","WCC",1,"7.6","0.9599","118.9","90.2","54.9","36.5","17.2","37.8","29.8"
2013,"Champions","Louisville","BE",1,"9.0","0.9743","115.9","84.5","50.6","33.3","18.3","38.2","33.3"
2013,"E8","Ohio St.","B10",2,"7.2","0.9406","113.6","89.4","50.6","35.6","16.2","31.8","28.2"
2013,"E8","Duke","ACC",2,"7.5","0.9507","118.4","91.5","53.9","39.9","15.6","28.8","32.3"
2013,"R64","Georgetown","BE",2,"6.6","0.9381","107.6","85.0","51.1","35.3","20.1","30.4","31.0"
2013,"S16","Miami FL","ACC",2,"6.3","0.9207","112.4","90.8","51.9","36.2","16.7","31.3","28.4"
2013,"E8","Florida","SEC",3,"4.1","0.9694","115.7","85.7","55.2","37.8","17.8","34.2","28.4"
2013,"R64","New Mexico","MWC",3,"6.9","0.8641","107.0","91.1","48.4","35.1","17.6","29.3","27.6"
2013,"S16","Michigan St.","B10",3,"6.7","0.9392","111.4","87.8","50.6","34.1","20.8","36.1","27.6"
2013,"E8","Marquette","BE",3,"4.5","0.9020","113.0","93.2","49.6","29.6","20.9","38.4","33.1"
2013,"2ND","Michigan","B10",4,"6.2","0.9522","121.5","93.7","54.6","37.9","14.6","32.5","29.4"
2013,"R64","Kansas St.","B12",4,"5.4","0.8896","113.4","94.5","49.1","35.8","18.2","38.5","33.8"
2013,"R32","Saint Louis","A10",4,"3.8","0.9181","108.0","87.5","50.4","34.0","17.6","27.9","29.1"
2013,"F4","Syracuse","BE",4,"5.1","0.9533","113.0","87.0","49.0","33.4","18.9","38.8","34.5"
2013,"R32","VCU","A10",5,"2.6","0.9195","113.8","92.1","51.3","35.1","16.9","36.6","34.7"
2013,"R64","Oklahoma St.","B12",5,"3.2","0.8983","107.1","88.6","48.8","31.6","18.2","31.3","30.8"
2013,"R64","UNLV","MWC",5,"1.8","0.8749","104.7","88.4","48.9","32.6","20.2","33.3","27.1"
2013,"R64","Wisconsin","B10",5,"4.6","0.9406","107.2","84.3","48.6","33.0","15.7","32.6","26.9"
2013,"R32","Butler","A10",6,"4.7","0.8624","109.2","93.0","50.7","34.3","20.2","35.9","26.3"
2013,"R32","Memphis","CUSA",6,"4.5","0.8672","106.1","90.2","52.4","37.2","20.7","35.6","31.1"
2013,"R64","UCLA","P12",6,"3.3","0.8475","110.0","94.8","49.1","33.3","15.8","30.7","34.0"
2013,"S16","Arizona","P12",6,"4.6","0.9229","114.4","92.2","52.5","37.1","19.5","35.0","26.7"
2013,"R32","San Diego St.","MWC",7,"0.4","0.8752","106.0","89.5","48.5","32.7","18.1","31.8","27.9"
2013,"R64","Notre Dame","BE",7,"3.9","0.8748","112.9","95.4","52.2","37.0","17.6","34.0","29.5"
2013,"R32","Illinois","B10",7,"2.4","0.8749","109.8","92.7","47.5","31.7","17.6","33.6","33.0"
2013,"R32","Creighton","MVC",7,"3.5","0.9117","116.4","95.0","58.2","41.4","18.9","28.8","27.2"
2013,"R64","Pittsburgh","BE",8,"3.1","0.9217","112.8","91.1","51.7","34.9","18.1","40.4","30.0"
2013,"R32","North Carolina","ACC",8,"2.5","0.8902","111.6","93.0","49.3","37.2","17.2","34.6","31.6"
2013,"R64","North Carolina St.","ACC",8,"2.2","0.8650","115.2","98.0","54.2","39.1","18.0","34.7","32.6"
2013,"R32","Colorado St.","MWC",8,"1.9","0.8759","116.6","98.4","49.2","34.1","17.2","41.4","23.2"
2013,"F4","Wichita St.","MVC",9,"2.2","0.9045","110.6","91.0","50.0","33.9","19.4","38.0","26.5"
2013,"R32","Temple","A10",9,"1.5","0.8220","110.7","96.9","49.0","32.8","15.9","30.8","31.4"
2013,"R64","Missouri","SEC",9,"1.2","0.8815","113.3","95.2","51.2","33.9","18.9","38.7","28.6"
2013,"R64","Villanova","BE",9,"0.3","0.8507","105.3","90.5","47.3","33.2","22.9","33.1","29.5"
