"month","year","month_year","brand_name","products_sold","avg_spec_month_products_sold","avg_prod_sold","brand_revenue","avg_spec_month_brand_rev","avg_monthly_revenue","company_revenue","monthly_brand_rev_share"
"1","2016","January, 2016","Electra","108","82","77","42001.23","40332.66","35450.61","215146.43","0.1952"
"1","2016","January, 2016","Heller","8","4","5","9379.03","5331.49","6594.58","215146.43","0.0436"
"1","2016","January, 2016","Pure Cycles","22","10","14","8627.65","3933.49","5536.16","215146.43","0.0401"
"1","2016","January, 2016","Ritchey","5","4","5","3149.96","2349.97","3430.39","215146.43","0.0146"
"1","2016","January, 2016","Surly","33","25","30","37672.96","26210.95","31650.24","215146.43","0.1751"
"1","2016","January, 2016","Trek","45","79","54","114315.60","204273.16","135375.13","215146.43","0.5313"
"2","2016","February, 2016","Electra","133","85","77","50106.92","37314.71","35450.61","156112.33","0.3210"
"2","2016","February, 2016","Heller","7","7","5","8031.62","8479.85","6594.58","156112.33","0.0514"
"2","2016","February, 2016","Pure Cycles","25","16","14","9843.37","6071.11","5536.16","156112.33","0.0631"
"2","2016","February, 2016","Ritchey","5","4","5","3172.46","2186.22","3430.39","156112.33","0.0203"
"2","2016","February, 2016","Surly","31","24","30","31378.16","25064.75","31650.24","156112.33","0.2010"
"2","2016","February, 2016","Trek","22","57","54","53579.80","133591.59","135375.13","156112.33","0.3432"
"3","2016","March, 2016","Electra","108","104","77","44495.04","54639.28","35450.61","180600.34","0.2464"
"3","2016","March, 2016","Heller","8","4","5","9194.09","4989.25","6594.58","180600.34","0.0509"
"3","2016","March, 2016","Pure Cycles","25","12","14","10050.03","4819.79","5536.16","180600.34","0.0556"
"3","2016","March, 2016","Ritchey","9","6","5","6352.42","3776.20","3430.39","180600.34","0.0352"
"3","2016","March, 2016","Surly","34","36","30","30623.02","36037.57","31650.24","180600.34","0.1696"
"3","2016","March, 2016","Trek","29","72","54","79885.74","165305.46","135375.13","180600.34","0.4423"
